State,Capital,Region
Algeria,Algiers,Africa
Angola,Luanda,Africa
Benin,Porto-Novo,Africa
Botswana,Gaborone,Africa
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cameroon,Yaounde,Africa
Cape Verde,Praia,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Comoros,Moroni,Africa
Republic of the Congo,Brazzaville,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Cote d'Ivoire,Yamoussoukro,Africa
Djibouti,Djibouti,Africa
Egypt,Cairo,Africa
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Ethiopia,Addis Ababa,Africa
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Ghana,Accra,Africa
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Kenya,Nairobi,Africa
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Mali,Bamako,Africa
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Namibia,Windhoek,Africa
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Rwanda,Kigali,Africa
Sao Tome and Principe,Sao Tome,Africa
Senegal,Dakar,Africa
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Sudan,Khartoum,Africa
Swaziland,Mbabane ,Africa
Tanzania,Dodoma,Africa
Togo,Loma,Africa
Tunisia,Tunis,Africa
Uganda,Kampala,Africa
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
