State,Capital,Region
Afghanistan,Kabul,Asia
Armenia,Yerevan,Asia
Azerbaijan,Baku,Asia
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Bhutan,Thimphu,Asia
Brunei,Bandar Seri Begawan,Asia
Cambodia,Phnom Penh,Asia
China,Beijing,Asia
Taiwan,Taipei,Asia
East Timor,Dili,Asia
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Israel,Jerusalem,Asia
Palestine,Jerusalem,Asia
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kuwait,Kuwait,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Lebanon,Beirut,Asia
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mongolia,Ulaanbaatar,Asia
Myanmar,Naypyidaw,Asia
Nepal,Kathmandu,Asia
North Korea,Pyongyang,Asia
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Philippines,Manila,Asia
Qatar,Doha,Asia
Russia,Moscow,Asia
Saudi Arabia,Riyadh,Asia
Singapore,Singapore,Asia
South Korea,Seoul,Asia
Sri Lanka,Colombo,Asia
Syria,Damascus,Asia
Tajikistan,Dushanbe,Asia
Thailand,Bangkok,Asia
Taiwan,Taipei,Asia
Turkey,Ankara,Asia
Turkmenistan,Asgabat,Asia
United Arab Emirates,Abu Dhabi,Asia
Uzbekistan,Tashkent,Asia
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
