State,Capital,Region
Antigua and Barbuda,St. John's,Central America
Bahamas,Nassau,Central America
Barbados,Bridgetown,Central America
Belize,Belmopan,Central America
Cayman Islands,George Town,Central America
Costa Rica,San Jose,Central America
Cuba,Havana,Central America
Dominica,Roseau,Central America
Dominican Republic,Santo Domingo,Central America
El Salvador,San Salvador,Central America
Grenada,St George's,Central America
Guatemala,Guatemala,Central America
Haiti,Port-au-Prince,Central America
Honduras,Tegucigalpa,Central America
Jamaica,Kingston,Central America
Nicaragua,Managua,Central America
Panama,Panama City,Central America
Puerto Rico,San Juan,Central America
Saint Kitts and Nevis,Basseterre,Central America
Saint Lucia,Castries,Central America
Saint Vincent and the Grenadines,Kingstown,Central America
Trinidad and Tobago,Port of Spain,Central America
Turks and Caicos,Cockburn Town,Central America
