State,Capital,Region
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Austria,Vienna,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Georgia,Tbilisi,Europe
Germany,Berlin,Europe
Greece,Athens,Europe
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
Republic of Ireland,Dublin,Europe
Italy,Rome,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg City,Europe
Republic of Macedonia,Skopje,Europe
Malta,Valletta,Europe
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
Norway,Oslo,Europe
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Romania,Bucharest,Europe
Russia,Moscow,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Turkey,Ankara,Europe
Ukraine,Kyiv or Kiev,Europe
United Kingdom,London,Europe
Vatican City,Vatican City,Europe
