State,Capital,Region
Alabama,Montgomery,United States
Alaska,Juneau,United States
Arizona,Phoenix,United States
Arkansas,Little Rock,United States
California,Sacramento,United States
Colorado,Denver,United States
Connecticut,Hartford,United States
Delaware,Dover,United States
Florida,Tallahassee,United States
Georgia,Atlanta,United States
Hawaii,Honolulu,United States
Idaho,Boise,United States
Illinois,Springfield,United States
Indiana,Indianapolis,United States
Iowa,Des Moines,United States
Kansas,Topeka,United States
Kentucky,Frankfort,United States
Louisiana,Baton Rouge,United States
Maine,Augusta,United States
Maryland,Annapolis,United States
Massachusetts,Boston,United States
Michigan,Lansing,United States
Minnesota,Saint Paul,United States
Mississippi,Jackson,United States
Missouri,Jefferson City,United States
Montana,Helena,United States
Nebraska,Lincoln,United States
Nevada,Carson City,United States
New Hampshire,Concord,United States
New Jersey,Trenton,United States
New Mexico,Santa Fe,United States
New York,Albany,United States
North Carolina,Raleigh,United States
North Dakota,Bismarck,United States
Ohio,Columbus,United States
Oklahoma,Oklahoma City,United States
Oregon,Salem,United States
Pennsylvania,Harrisburg,United States
Rhode Island,Providence,United States
South Carolina,Columbia,United States
South Dakota,Pierre,United States
Tennessee,Nashville,United States
Texas,Austin,United States
Utah,Salt Lake City,United States
Vermont,Montpelier,United States
Virginia,Richmond,United States
Washington,Olympia,United States
West Virginia,Charleston,United States
Wisconsin,Madison,United States
Wyoming,Cheyenne,United States
